Nom,cosmologie,dogme1,dogme2,dogme3,description,capacite
Brewalen,jour,nature,humain,mystique,"Premier enfant du Jour, Brewalen cherche …
repr‚senter une certaine image de l'harmonie, et
tente de mettre en place un statu quo entre les
Divinit‚s.","Peut empˆcher l'utilisation d'une carte Apocalypse.
La carte est d‚fauss‚e."
Brewalen,jour,nature,humain,mystique,"Premier enfant du Jour, Brewalen cherche …
repr‚senter une certaine image de l'harmonie, et
tente de mettre en place un statu quo entre les
Divinit‚s.","Peut empˆcher l'utilisation d'une carte Apocalypse.
La carte est d‚fauss‚e."
Brewalen,jour,nature,humain,mystique,"Premier enfant du Jour, Brewalen cherche …
repr‚senter une certaine image de l'harmonie, et
tente de mettre en place un statu quo entre les
Divinit‚s.","Peut empˆcher l'utilisation d'une carte Apocalypse.
La carte est d‚fauss‚e."
Brewalen,jour,nature,humain,mystique,"Premier enfant du Jour, Brewalen cherche …
repr‚senter une certaine image de l'harmonie, et
tente de mettre en place un statu quo entre les
Divinit‚s.","Peut empˆcher l'utilisation d'une carte Apocalypse.
La carte est d‚fauss‚e."
Brewalen,jour,nature,humain,mystique,"Premier enfant du Jour, Brewalen cherche …
repr‚senter une certaine image de l'harmonie, et
tente de mettre en place un statu quo entre les
Divinit‚s.","Peut empˆcher l'utilisation d'une carte Apocalypse.
La carte est d‚fauss‚e."
Brewalen,jour,nature,humain,mystique,"Premier enfant du Jour, Brewalen cherche …
repr‚senter une certaine image de l'harmonie, et
tente de mettre en place un statu quo entre les
Divinit‚s.","Peut empˆcher l'utilisation d'une carte Apocalypse.
La carte est d‚fauss‚e."
Brewalen,jour,nature,humain,mystique,"Premier enfant du Jour, Brewalen cherche …
repr‚senter une certaine image de l'harmonie, et
tente de mettre en place un statu quo entre les
Divinit‚s.","Peut empˆcher l'utilisation d'une carte Apocalypse.
La carte est d‚fauss‚e."
Brewalen,jour,nature,humain,mystique,"Premier enfant du Jour, Brewalen cherche …
repr‚senter une certaine image de l'harmonie, et
tente de mettre en place un statu quo entre les
Divinit‚s.","Peut empˆcher l'utilisation d'une carte Apocalypse.
La carte est d‚fauss‚e."
Brewalen,jour,nature,humain,mystique,"Premier enfant du Jour, Brewalen cherche …
repr‚senter une certaine image de l'harmonie, et
tente de mettre en place un statu quo entre les
Divinit‚s.","Peut empˆcher l'utilisation d'une carte Apocalypse.
La carte est d‚fauss‚e."
Brewalen,jour,nature,humain,mystique,"Premier enfant du Jour, Brewalen cherche …
repr‚senter une certaine image de l'harmonie, et
tente de mettre en place un statu quo entre les
Divinit‚s.","Peut empˆcher l'utilisation d'une carte Apocalypse.
La carte est d‚fauss‚e."
